Koppelmethode;Koppel-ID;Bron;Bronlaag;Bronveld;Bronwaarde;LGB-code_binnendijks;LGB-code_buitendijks;LGB_beschrijving;Toelichting;Documentatie
functie;BAG-001;BAG;pand + verblijfsobject;gebruiksdoel;woonfunctie;1;129;Woning met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-002;BAG;pand + verblijfsobject;gebruiksdoel;woonfunctie;2;130;Woning met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-003;BAG;pand + verblijfsobject;gebruiksdoel;woonfunctie;3;131;Woning met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-004;BAG;pand + verblijfsobject;gebruiksdoel;bijeenkomstfunctie;5;133;Bijeenkomstfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-005;BAG;pand + verblijfsobject;gebruiksdoel;bijeenkomstfunctie;6;134;Bijeenkomstfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-006;BAG;pand + verblijfsobject;gebruiksdoel;bijeenkomstfunctie;7;135;Bijeenkomstfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-007;BAG;pand + verblijfsobject;gebruiksdoel;celfunctie;8;136;Cel-functie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-008;BAG;pand + verblijfsobject;gebruiksdoel;celfunctie;9;137;Cel-functie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-009;BAG;pand + verblijfsobject;gebruiksdoel;celfunctie;10;138;Cel-functie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-010;BAG;pand + verblijfsobject;gebruiksdoel;gezondheidszorgfunctie;11;139;Gezondheidszorgfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-011;BAG;pand + verblijfsobject;gebruiksdoel;gezondheidszorgfunctie;12;140;Gezondheidszorgfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-012;BAG;pand + verblijfsobject;gebruiksdoel;gezondheidszorgfunctie;13;141;Gezondheidszorgfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-013;BAG;pand + verblijfsobject;gebruiksdoel;industriefunctie;14;142;Industriefunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-014;BAG;pand + verblijfsobject;gebruiksdoel;industriefunctie;15;143;Industriefunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-015;BAG;pand + verblijfsobject;gebruiksdoel;industriefunctie;16;144;Industriefunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-016;BAG;pand + verblijfsobject;gebruiksdoel;kantoorfunctie;17;145;Kantoorfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-017;BAG;pand + verblijfsobject;gebruiksdoel;kantoorfunctie;18;146;Kantoorfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-018;BAG;pand + verblijfsobject;gebruiksdoel;kantoorfunctie;19;147;Kantoorfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-019;BAG;pand + verblijfsobject;gebruiksdoel;logiesfunctie;20;148;Logiesfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-020;BAG;pand + verblijfsobject;gebruiksdoel;logiesfunctie;21;149;Logiesfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-021;BAG;pand + verblijfsobject;gebruiksdoel;logiesfunctie;22;150;Logiesfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-022;BAG;pand + verblijfsobject;gebruiksdoel;onderwijsfunctie;23;151;Onderwijsfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-023;BAG;pand + verblijfsobject;gebruiksdoel;onderwijsfunctie;24;152;Onderwijsfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-024;BAG;pand + verblijfsobject;gebruiksdoel;onderwijsfunctie;25;153;Onderwijsfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-025;BAG;pand + verblijfsobject;gebruiksdoel;sportfunctie;26;154;Sportfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-026;BAG;pand + verblijfsobject;gebruiksdoel;sportfunctie;27;155;Sportfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-027;BAG;pand + verblijfsobject;gebruiksdoel;sportfunctie;28;156;Sportfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-028;BAG;pand + verblijfsobject;gebruiksdoel;winkelfunctie;29;157;Winkelfunctie met enkel begane grond;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-029;BAG;pand + verblijfsobject;gebruiksdoel;winkelfunctie;30;158;Winkelfunctie met begane grond en eerste verdieping;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-030;BAG;pand + verblijfsobject;gebruiksdoel;winkelfunctie;31;159;Winkelfunctie met meer dan 2 verdiepingen;"Gebouwregels; Notitie p. 3–5, tabel 1";
functie;BAG-031;BAG;pand + verblijfsobject;gebruiksdoel;woonfunctie;4;132;Appartementencomplex;"Gebouwregels; Notitie p. 3–4";
functie;BAG-032;BAG;pand + verblijfsobject;gebruiksdoel;overige gebruiksfunctie;32;160;Overige gebruiksfunctie > 100 m²;"Gebouwregels; Notitie p. 3–4, 8";
functie;BAG-033;BAG;pand + verblijfsobject;gebruiksdoel;overige gebruiksfunctie;33;161;Overige gebruiksfunctie ≤ 100 m²;"Gebouwregels; Notitie p. 3–4, 8";
functie;BAG-034;BAG;pand + verblijfsobject;gebruiksdoel;NULL;34;162;NULL (geen gebruiksdoel ingevuld);"Gebouwregels; Geen gebruiksdoel ingevuld; Notitie p. 3–4, 8";
functie;TOP10NL-BAG-001;TOP10NL + BAG;top10nl_gebouw_vlak + pand;typegebouw;kas, warenhuis;35;163;Kassen;"Selecteer kas/warenhuis uit TOP10NL en koppel aan BAG-panden; gebruik de BAG-geometrie.; kas/warenhuis volgens notitie; Notitie p. 3, 6";
